"Nome comercial","Nome da oportunidade","Telefone principal","Instagram","Segmento","Fonte","Tags","Dor provavel","Gancho - Abordagem","Observacoes"
"EBLUSH MAQUIAGEM","NUC TikTok Shop x EBLUSH MAQUIAGEM","+55 24 99858-1164","https://instagram.com/eblushcosmeticos?igshid=MzRlODBiNWFlZA==","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","O TikTok Shop ja movimenta 22.5% do GMV global so em beleza e cosmeticos. A EBLUSH MAQUIAGEM vende exatamente o tipo de produto que mais converte em lives - perfumes, skincare, maquiagem. Quero mostrar como colocar seus produtos vendendo 24h no TikTok com uma apresentadora dedicada.","Empresa: EBLUSH MAQUIAGEM | Local: Barra Mansa | Nota Google: 5.0 (43 avaliacoes) | Categorias: Loja de cosmético, Loja de produtos de beleza, Estúdio de maquiagem | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Pimentinha Utilidades","NUC TikTok Shop x Pimentinha Utilidades","+55 24 99288-7266","https://www.google.com/search?q=Pimentinha+Utilidades+Barra+Mansa+instagram","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","Beleza e a categoria numero 1 do TikTok Shop no mundo. A Pimentinha Utilidades tem 37 avaliacoes e ja e referencia local - imagine adicionar um canal de vendas onde uma apresentadora faz demos dos seus produtos ao vivo pra milhares de pessoas.","Empresa: Pimentinha Utilidades | Local: Barra Mansa | Nota Google: 4.9 (37 avaliacoes) | Categorias: Papelaria, Loja de produtos de beleza | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Hello Makeup - Loja de Maquiagem","NUC TikTok Shop x Hello Makeup - Loja de Maquiagem","+55 24 99871-5838","https://www.instagram.com/hellomakeupoficial/","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","Beleza e a categoria numero 1 do TikTok Shop no mundo. A Hello Makeup - Loja de Maquiagem tem 36 avaliacoes e ja e referencia local - imagine adicionar um canal de vendas onde uma apresentadora faz demos dos seus produtos ao vivo pra milhares de pessoas.","Empresa: Hello Makeup - Loja de Maquiagem | Local: Barra Mansa | Nota Google: 5.0 (36 avaliacoes) | Categorias: Loja de cosmético | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Fashion Hair Perfumaria","NUC TikTok Shop x Fashion Hair Perfumaria","+55 24 3322-8294","https://www.google.com/search?q=Fashion+Hair+Perfumaria+Barra+Mansa+instagram","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","O TikTok Shop ja movimenta 22.5% do GMV global so em beleza e cosmeticos. A Fashion Hair Perfumaria vende exatamente o tipo de produto que mais converte em lives - perfumes, skincare, maquiagem. Quero mostrar como colocar seus produtos vendendo 24h no TikTok com uma apresentadora dedicada.","Empresa: Fashion Hair Perfumaria | Local: Barra Mansa | Nota Google: 4.3 (30 avaliacoes) | Categorias: Salão de Beleza | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Loja da Elvira Perfumaria","NUC TikTok Shop x Loja da Elvira Perfumaria","+55 24 3028-4315","https://www.google.com/search?q=Loja+da+Elvira+Perfumaria+Barra+Mansa+instagram","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","O TikTok Shop ja movimenta 22.5% do GMV global so em beleza e cosmeticos. A Loja da Elvira Perfumaria vende exatamente o tipo de produto que mais converte em lives - perfumes, skincare, maquiagem. Quero mostrar como colocar seus produtos vendendo 24h no TikTok com uma apresentadora dedicada.","Empresa: Loja da Elvira Perfumaria | Local: Barra Mansa | Nota Google: 4.2 (25 avaliacoes) | Categorias: Perfumaria | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Amakha Paris- Centro de distribuição Exclusivo Barra Mansa-RJ","NUC TikTok Shop x Amakha Paris- Centro de distribuição Exclusivo Barra Mansa-RJ","+55 24 99991-0028","https://www.google.com/search?q=Amakha+Paris-+Centro+de+distribui%C3%A7%C3%A3o+Exclusivo+Barra+Mansa-RJ+Barra+Mansa+instagram","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","Beleza e a categoria numero 1 do TikTok Shop no mundo. A Amakha Paris- Centro de distribuição Exclusivo Barra Mansa-RJ tem 18 avaliacoes e ja e referencia local - imagine adicionar um canal de vendas onde uma apresentadora faz demos dos seus produtos ao vivo pra milhares de pessoas.","Empresa: Amakha Paris- Centro de distribuição Exclusivo Barra Mansa-RJ | Local: Barra Mansa | Nota Google: 5.0 (18 avaliacoes) | Categorias: Perfumaria | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Le Parfum","NUC TikTok Shop x Le Parfum","+55 24 98126-4093","https://instagram.com/leparfum.bm?igshid=MmVlMjlkMTBhMg==&utm_source=qr","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","Pesquisei os negocios de Barra Mansa com maior potencial no TikTok Shop e a Le Parfum se destacou. Cosmeticos e perfumaria lideram as vendas na plataforma globalmente - quero apresentar como implementar isso no seu negocio com zero esforco da sua parte.","Empresa: Le Parfum | Local: Barra Mansa | Nota Google: 5.0 (17 avaliacoes) | Categorias: Loja de cosmético | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Studio TR Beauty","NUC TikTok Shop x Studio TR Beauty","+55 24 99999-2266","https://www.google.com/search?q=Studio+TR+Beauty+Barra+Mansa+instagram","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","Pesquisei os negocios de Barra Mansa com maior potencial no TikTok Shop e a Studio TR Beauty se destacou. Cosmeticos e perfumaria lideram as vendas na plataforma globalmente - quero apresentar como implementar isso no seu negocio com zero esforco da sua parte.","Empresa: Studio TR Beauty | Local: Barra Mansa | Nota Google: 5.0 (15 avaliacoes) | Categorias: Estúdio de maquiagem | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Makeup Paula Gonçalves","NUC TikTok Shop x Makeup Paula Gonçalves","+55 24 98812-8909","https://www.instagram.com/makeuppaulagoncalves/","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","O TikTok Shop ja movimenta 22.5% do GMV global so em beleza e cosmeticos. A Makeup Paula Gonçalves vende exatamente o tipo de produto que mais converte em lives - perfumes, skincare, maquiagem. Quero mostrar como colocar seus produtos vendendo 24h no TikTok com uma apresentadora dedicada.","Empresa: Makeup Paula Gonçalves | Local: Barra Mansa | Nota Google: 5.0 (15 avaliacoes) | Categorias: Estúdio de maquiagem | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
"Fashion Nail","NUC TikTok Shop x Fashion Nail","+55 24 99916-5494","https://www.instagram.com/fashionnailbm/","Beleza e Cosmeticos","Prospeccao Ativa - TikTok Shop","Barra Mansa","Vendas limitadas ao fluxo da loja fisica e Instagram organico; clientes compram uma vez e nao voltam; dificuldade em competir com e-commerces grandes; estoque parado de produtos que nao giram.","O TikTok Shop ja movimenta 22.5% do GMV global so em beleza e cosmeticos. A Fashion Nail vende exatamente o tipo de produto que mais converte em lives - perfumes, skincare, maquiagem. Quero mostrar como colocar seus produtos vendendo 24h no TikTok com uma apresentadora dedicada.","Empresa: Fashion Nail | Local: Barra Mansa | Nota Google: 4.1 (14 avaliacoes) | Categorias: Loja de cosmético | RANKING TIKTOK SHOP: Beleza, Perfumaria e Cosmeticos - Categoria #1 global (22.5% do GMV) | POR QUE ESSE NEGOCIO: Categoria #1 do TikTok Shop globalmente (22.5% do GMV). Demos de antes/depois, reviews de produtos e tutoriais de maquiagem viralizam naturalmente. Perfumes e skincare tem ticket medio alto (R$40-180) e alta margem. | PROPOSTA: Implementacao completa de TikTok Shop + apresentadora dedicada que vende os produtos em lives. O negocio so precisa fornecer os produtos - NUC cuida de toda a operacao digital."
